RESULTS Received DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Thu Oct 10 20:37:21 2019
elapsed time: 3.1e-08s
Source: Wf:00:00:00:00:07 | From: Wf:00:00:00:00:07 | Message ID: /app/node7/item-22011 | Message ID: 11 | Time Received Here: 10.833627 | End 
Source: Wf:00:00:00:00:07 | From: Wf:00:00:00:00:07 | Message ID: /app/node7/item-22012 | Message ID: 12 | Time Received Here: 11.383627 | End 
Source: Wf:00:00:00:00:05 | From: Wf:00:00:00:00:05 | Message ID: /app/node5/item-22017 | Message ID: 17 | Time Received Here: 18.283627 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:05 | Message ID: /app/node2/item-22014 | Message ID: 14 | Time Received Here: 18.297467 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:05 | Message ID: /app/node2/item-22015 | Message ID: 15 | Time Received Here: 18.311307 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:05 | Message ID: /app/node2/item-22017 | Message ID: 17 | Time Received Here: 18.325147 | End 
Source: Wf:00:00:00:00:05 | From: Wf:00:00:00:00:05 | Message ID: /app/node5/item-22018 | Message ID: 18 | Time Received Here: 18.338987 | End 
Source: Wf:00:00:00:00:05 | From: Wf:00:00:00:00:05 | Message ID: /app/node5/item-22019 | Message ID: 19 | Time Received Here: 18.352827 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22016 | Message ID: 16 | Time Received Here: 19.583627 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22017 | Message ID: 17 | Time Received Here: 19.597467 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22018 | Message ID: 18 | Time Received Here: 19.611307 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22019 | Message ID: 19 | Time Received Here: 19.625147 | End 
Source: Wf:00:00:00:00:07 | From: Wf:00:00:00:00:07 | Message ID: /app/node7/item-22020 | Message ID: 20 | Time Received Here: 19.638987 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22044 | Message ID: 44 | Time Received Here: 50.483627 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22046 | Message ID: 46 | Time Received Here: 50.497467 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22047 | Message ID: 47 | Time Received Here: 50.511307 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:07 | Message ID: /app/node3/item-22046 | Message ID: 46 | Time Received Here: 50.525147 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22048 | Message ID: 48 | Time Received Here: 50.538987 | End 
Source: Wf:00:00:00:00:07 | From: Wf:00:00:00:00:07 | Message ID: /app/node7/item-22049 | Message ID: 49 | Time Received Here: 50.552827 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:07 | Message ID: /app/node3/item-22047 | Message ID: 47 | Time Received Here: 50.566667 | End 
Source: Wf:00:00:00:00:06 | From: Wf:00:00:00:00:07 | Message ID: /app/node6/item-22049 | Message ID: 49 | Time Received Here: 50.580507 | End 
Source: Wf:00:00:00:00:07 | From: Wf:00:00:00:00:07 | Message ID: /app/node7/item-22050 | Message ID: 50 | Time Received Here: 50.594347 | End 
Source: Wf:00:00:00:00:08 | From: Wf:00:00:00:00:07 | Message ID: /app/node8/item-22046 | Message ID: 46 | Time Received Here: 50.608187 | End 
Source: Wf:00:00:00:00:08 | From: Wf:00:00:00:00:07 | Message ID: /app/node8/item-22047 | Message ID: 47 | Time Received Here: 50.622027 | End 
