RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Sep 15 23:55:57 2019
elapsed time: 4.7e-08s
Source: Wf:00:00:00:00:03 | Message ID: 1 | Time SentFromSrc: 1.156837 |End 
Source: Wf:00:00:00:00:03 | Message ID: 2 | Time SentFromSrc: 1.170677 |End 
Source: Wf:00:00:00:00:03 | Message ID: 3 | Time SentFromSrc: 2.256837 |End 
Source: Wf:00:00:00:00:03 | Message ID: 3 | Time SentFromSrc: 2.270677 |End 
Source: Wf:00:00:00:00:03 | Message ID: 4 | Time SentFromSrc: 3.356837 |End 
Source: Wf:00:00:00:00:03 | Message ID: 4 | Time SentFromSrc: 3.370677 |End 
Source: Wf:00:00:00:00:03 | Message ID: 5 | Time SentFromSrc: 4.456838 |End 
Source: Wf:00:00:00:00:03 | Message ID: 5 | Time SentFromSrc: 4.470678 |End 
Source: Wf:00:00:00:00:03 | Message ID: 6 | Time SentFromSrc: 5.556839 |End 
Source: Wf:00:00:00:00:03 | Message ID: 6 | Time SentFromSrc: 5.570679 |End 
Source: Wf:00:00:00:00:03 | Message ID: 7 | Time SentFromSrc: 6.656839 |End 
Source: Wf:00:00:00:00:03 | Message ID: 7 | Time SentFromSrc: 6.670679 |End 
Source: Wf:00:00:00:00:03 | Message ID: 8 | Time SentFromSrc: 7.206839 |End 
Source: Wf:00:00:00:00:03 | Message ID: 8 | Time SentFromSrc: 7.220679 |End 
Source: Wf:00:00:00:00:03 | Message ID: 9 | Time SentFromSrc: 8.306839 |End 
Source: Wf:00:00:00:00:03 | Message ID: 9 | Time SentFromSrc: 8.320679 |End 
Source: Wf:00:00:00:00:03 | Message ID: 10 | Time SentFromSrc: 9.406839 |End 
Source: Wf:00:00:00:00:03 | Message ID: 10 | Time SentFromSrc: 9.420679 |End 
Source: Wf:00:00:00:00:03 | Message ID: 11 | Time SentFromSrc: 10.506839 |End 
Source: Wf:00:00:00:00:03 | Message ID: 12 | Time SentFromSrc: 11.606839 |End 
Source: Wf:00:00:00:00:03 | Message ID: 13 | Time SentFromSrc: 12.156800 |End 
Source: Wf:00:00:00:00:03 | Message ID: 14 | Time SentFromSrc: 13.256800 |End 
Source: Wf:00:00:00:00:03 | Message ID: 15 | Time SentFromSrc: 14.352199 |End 
Source: Wf:00:00:00:00:03 | Message ID: 16 | Time SentFromSrc: 15.442537 |End 
Source: Wf:00:00:00:00:03 | Message ID: 17 | Time SentFromSrc: 16.542537 |End 
Source: Wf:00:00:00:00:03 | Message ID: 18 | Time SentFromSrc: 17.642537 |End 
Source: Wf:00:00:00:00:03 | Message ID: 19 | Time SentFromSrc: 18.192537 |End 
Source: Wf:00:00:00:00:03 | Message ID: 20 | Time SentFromSrc: 19.292519 |End 
Source: Wf:00:00:00:00:03 | Message ID: 21 | Time SentFromSrc: 20.392519 |End 
Source: Wf:00:00:00:00:03 | Message ID: 22 | Time SentFromSrc: 21.492519 |End 
Source: Wf:00:00:00:00:03 | Message ID: 23 | Time SentFromSrc: 22.597139 |End 
Source: Wf:00:00:00:00:03 | Message ID: 24 | Time SentFromSrc: 23.152160 |End 
Source: Wf:00:00:00:00:03 | Message ID: 25 | Time SentFromSrc: 24.242519 |End 
Source: Wf:00:00:00:00:03 | Message ID: 26 | Time SentFromSrc: 25.342519 |End 
