RESULTS Received DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Sep 15 23:55:57 2019
elapsed time: 4.2e-08s
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 1 | Time Received Here: 1.156853 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 1 | Time Received Here: 1.156855 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 1 | Time Received Here: 1.156893 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 2 | Time Received Here: 1.170693 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 2 | Time Received Here: 1.170695 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 2 | Time Received Here: 1.170733 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 3 | Time Received Here: 2.256853 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 3 | Time Received Here: 2.256855 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 3 | Time Received Here: 2.270732 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:00 | Message ID: 3 | Time Received Here: 2.806854 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 4 | Time Received Here: 3.356854 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 4 | Time Received Here: 3.356855 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 4 | Time Received Here: 3.370733 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:00 | Message ID: 4 | Time Received Here: 3.906855 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 5 | Time Received Here: 4.456856 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 5 | Time Received Here: 4.470695 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 5 | Time Received Here: 4.470734 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:00 | Message ID: 5 | Time Received Here: 5.006858 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:00 | Message ID: 5 | Time Received Here: 5.020698 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 6 | Time Received Here: 5.556859 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 6 | Time Received Here: 5.570695 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 6 | Time Received Here: 5.570734 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:00 | Message ID: 6 | Time Received Here: 6.106861 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:00 | Message ID: 6 | Time Received Here: 6.120701 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 7 | Time Received Here: 6.656863 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 7 | Time Received Here: 6.670695 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 7 | Time Received Here: 6.670734 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:00 | Message ID: 7 | Time Received Here: 7.206865 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 8 | Time Received Here: 7.220695 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:00 | Message ID: 7 | Time Received Here: 7.220705 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 8 | Time Received Here: 7.220734 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 8 | Time Received Here: 7.234545 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:00 | Message ID: 8 | Time Received Here: 7.756868 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:00 | Message ID: 8 | Time Received Here: 7.770708 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 9 | Time Received Here: 8.306855 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 9 | Time Received Here: 8.306871 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 9 | Time Received Here: 8.320734 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:00 | Message ID: 9 | Time Received Here: 8.856874 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:00 | Message ID: 9 | Time Received Here: 8.870714 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 10 | Time Received Here: 9.406855 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 10 | Time Received Here: 9.406877 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 10 | Time Received Here: 9.420734 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:00 | Message ID: 10 | Time Received Here: 9.956881 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:00 | Message ID: 10 | Time Received Here: 9.970721 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 11 | Time Received Here: 10.506855 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 11 | Time Received Here: 10.506885 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 11 | Time Received Here: 10.506894 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:00 | Message ID: 11 | Time Received Here: 11.056890 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 12 | Time Received Here: 11.602287 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 12 | Time Received Here: 11.606855 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 12 | Time Received Here: 11.606894 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 13 | Time Received Here: 12.156855 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 13 | Time Received Here: 12.170695 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 13 | Time Received Here: 12.828381 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 14 | Time Received Here: 13.256855 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 14 | Time Received Here: 13.256855 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:00 | Message ID: 13 | Time Received Here: 13.378395 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 14 | Time Received Here: 13.392235 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 15 | Time Received Here: 14.352254 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 15 | Time Received Here: 14.356855 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 16 | Time Received Here: 15.442593 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 16 | Time Received Here: 15.456855 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 15 | Time Received Here: 15.528462 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 16 | Time Received Here: 15.542302 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 17 | Time Received Here: 16.542593 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 17 | Time Received Here: 16.556855 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 17 | Time Received Here: 16.628504 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: 18 | Time Received Here: 17.178527 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: 18 | Time Received Here: 17.642593 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:01 | Message ID: 18 | Time Received Here: 17.656855 | End 
