RESULTS Received DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 23:45:29 2019
elapsed time: 6.2e-08s
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22033 | Message ID: 33 | Time Received Here: 48.461657 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22034 | Message ID: 34 | Time Received Here: 48.475497 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22043 | Message ID: 43 | Time Received Here: 48.503177 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22024 | Message ID: 24 | Time Received Here: 48.517017 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22031 | Message ID: 31 | Time Received Here: 48.530857 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22039 | Message ID: 39 | Time Received Here: 48.544697 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22040 | Message ID: 40 | Time Received Here: 48.558537 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22016 | Message ID: 16 | Time Received Here: 48.586217 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22031 | Message ID: 31 | Time Received Here: 48.613897 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22032 | Message ID: 32 | Time Received Here: 48.627737 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22036 | Message ID: 36 | Time Received Here: 48.641577 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22040 | Message ID: 40 | Time Received Here: 48.655417 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22042 | Message ID: 42 | Time Received Here: 48.669257 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22044 | Message ID: 44 | Time Received Here: 48.696937 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22019 | Message ID: 19 | Time Received Here: 48.738457 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22039 | Message ID: 39 | Time Received Here: 48.766137 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22041 | Message ID: 41 | Time Received Here: 48.779977 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22045 | Message ID: 45 | Time Received Here: 48.793817 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22047 | Message ID: 47 | Time Received Here: 48.807657 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22039 | Message ID: 39 | Time Received Here: 48.821497 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22042 | Message ID: 42 | Time Received Here: 48.835337 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22044 | Message ID: 44 | Time Received Here: 48.863017 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22048 | Message ID: 48 | Time Received Here: 48.876857 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22047 | Message ID: 47 | Time Received Here: 48.904537 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22043 | Message ID: 43 | Time Received Here: 67.233977 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22053 | Message ID: 53 | Time Received Here: 67.261657 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22039 | Message ID: 39 | Time Received Here: 67.275497 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22049 | Message ID: 49 | Time Received Here: 67.289337 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22058 | Message ID: 58 | Time Received Here: 67.330857 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22060 | Message ID: 60 | Time Received Here: 67.344697 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22058 | Message ID: 58 | Time Received Here: 67.372377 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22059 | Message ID: 59 | Time Received Here: 67.400057 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22063 | Message ID: 63 | Time Received Here: 67.413897 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22063 | Message ID: 63 | Time Received Here: 67.455417 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22065 | Message ID: 65 | Time Received Here: 67.469257 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22066 | Message ID: 66 | Time Received Here: 67.483097 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22067 | Message ID: 67 | Time Received Here: 67.524617 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22066 | Message ID: 66 | Time Received Here: 67.538457 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22065 | Message ID: 65 | Time Received Here: 67.566137 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22068 | Message ID: 68 | Time Received Here: 67.579977 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22059 | Message ID: 59 | Time Received Here: 69.397817 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22056 | Message ID: 56 | Time Received Here: 69.411657 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22053 | Message ID: 53 | Time Received Here: 69.425497 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22056 | Message ID: 56 | Time Received Here: 69.439337 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22059 | Message ID: 59 | Time Received Here: 69.453177 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22064 | Message ID: 64 | Time Received Here: 69.467017 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22066 | Message ID: 66 | Time Received Here: 69.494697 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22062 | Message ID: 62 | Time Received Here: 69.508537 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22066 | Message ID: 66 | Time Received Here: 69.536217 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22064 | Message ID: 64 | Time Received Here: 69.550057 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22049 | Message ID: 49 | Time Received Here: 69.563897 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22053 | Message ID: 53 | Time Received Here: 69.577737 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22063 | Message ID: 63 | Time Received Here: 69.633097 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22064 | Message ID: 64 | Time Received Here: 69.646937 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22067 | Message ID: 67 | Time Received Here: 69.674617 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22068 | Message ID: 68 | Time Received Here: 69.688457 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22069 | Message ID: 69 | Time Received Here: 69.716137 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22070 | Message ID: 70 | Time Received Here: 69.729977 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22056 | Message ID: 56 | Time Received Here: 69.961657 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22055 | Message ID: 55 | Time Received Here: 69.975497 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22065 | Message ID: 65 | Time Received Here: 70.017017 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22059 | Message ID: 59 | Time Received Here: 70.030857 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22061 | Message ID: 61 | Time Received Here: 70.044697 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22062 | Message ID: 62 | Time Received Here: 70.058537 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22066 | Message ID: 66 | Time Received Here: 70.072377 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22068 | Message ID: 68 | Time Received Here: 70.086217 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22092 | Message ID: 92 | Time Received Here: 113.339337 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22094 | Message ID: 94 | Time Received Here: 113.353177 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22094 | Message ID: 94 | Time Received Here: 113.380857 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22089 | Message ID: 89 | Time Received Here: 113.394697 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22096 | Message ID: 96 | Time Received Here: 113.408537 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22098 | Message ID: 98 | Time Received Here: 113.422377 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22099 | Message ID: 99 | Time Received Here: 113.436217 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22094 | Message ID: 94 | Time Received Here: 113.463897 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22095 | Message ID: 95 | Time Received Here: 113.477737 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22096 | Message ID: 96 | Time Received Here: 113.491577 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22084 | Message ID: 84 | Time Received Here: 113.505417 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22097 | Message ID: 97 | Time Received Here: 113.533097 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22089 | Message ID: 89 | Time Received Here: 116.511657 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22096 | Message ID: 96 | Time Received Here: 116.567017 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22098 | Message ID: 98 | Time Received Here: 116.580857 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22099 | Message ID: 99 | Time Received Here: 116.594697 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22086 | Message ID: 86 | Time Received Here: 116.608537 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22091 | Message ID: 91 | Time Received Here: 116.622377 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22100 | Message ID: 100 | Time Received Here: 116.650057 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22093 | Message ID: 93 | Time Received Here: 116.663897 | End 
