RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 23:34:46 2019
elapsed time: 4.8e-08s
Source: /app/node2/item-22032 | Message ID: 32 | Time sentFromSrcR: 32.106346 | Time receivedFromSrcR: 32.120420 |End 
Source: /app/node2/item-22033 | Message ID: 33 | Time sentFromSrcR: 32.106346 | Time receivedFromSrcR: 32.134261 |End 
Source: /app/node3/item-22031 | Message ID: 31 | Time sentFromSrcR: 32.469643 | Time receivedFromSrcR: 32.483627 |End 
Source: /app/node3/item-22028 | Message ID: 28 | Time sentFromSrcR: 32.469643 | Time receivedFromSrcR: 32.497467 |End 
Source: /app/node4/item-22029 | Message ID: 29 | Time sentFromSrcR: 31.102091 | Time receivedFromSrcR: 32.511307 |End 
Source: /app/node2/item-22029 | Message ID: 29 | Time sentFromSrcR: 30.289083 | Time receivedFromSrcR: 32.525147 |End 
Source: /app/node2/item-22028 | Message ID: 28 | Time sentFromSrcR: 30.819643 | Time receivedFromSrcR: 32.538987 |End 
Source: /app/node3/item-22029 | Message ID: 29 | Time sentFromSrcR: 32.469643 | Time receivedFromSrcR: 32.552827 |End 
Source: /app/node4/item-22032 | Message ID: 32 | Time sentFromSrcR: 31.764828 | Time receivedFromSrcR: 32.566667 |End 
Source: /app/node3/item-22032 | Message ID: 32 | Time sentFromSrcR: 32.469643 | Time receivedFromSrcR: 32.580507 |End 
Source: /app/node1/item-22029 | Message ID: 29 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.594347 |End 
Source: /app/node3/item-22030 | Message ID: 30 | Time sentFromSrcR: 32.469643 | Time receivedFromSrcR: 32.608187 |End 
Source: /app/node4/item-22028 | Message ID: 28 | Time sentFromSrcR: 31.764828 | Time receivedFromSrcR: 32.622027 |End 
Source: /app/node2/item-22031 | Message ID: 31 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.635867 |End 
Source: /app/node0/item-22031 | Message ID: 31 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.649707 |End 
Source: /app/node4/item-22031 | Message ID: 31 | Time sentFromSrcR: 31.764828 | Time receivedFromSrcR: 32.663547 |End 
Source: /app/node0/item-22032 | Message ID: 32 | Time sentFromSrcR: 31.922048 | Time receivedFromSrcR: 32.677387 |End 
Source: /app/node3/item-22027 | Message ID: 27 | Time sentFromSrcR: 32.469643 | Time receivedFromSrcR: 32.691227 |End 
Source: /app/node0/item-22026 | Message ID: 26 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.705067 |End 
Source: /app/node0/item-22027 | Message ID: 27 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.718907 |End 
Source: /app/node0/item-22028 | Message ID: 28 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.732747 |End 
Source: /app/node2/item-22030 | Message ID: 30 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.746587 |End 
Source: /app/node0/item-22029 | Message ID: 29 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.760427 |End 
Source: /app/node0/item-22030 | Message ID: 30 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.774267 |End 
Source: /app/node4/item-22030 | Message ID: 30 | Time sentFromSrcR: 31.764828 | Time receivedFromSrcR: 32.788107 |End 
Source: /app/node1/item-22028 | Message ID: 28 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.801947 |End 
Source: /app/node1/item-22030 | Message ID: 30 | Time sentFromSrcR: 31.440859 | Time receivedFromSrcR: 32.815787 |End 
Source: /app/node3/item-22033 | Message ID: 33 | Time sentFromSrcR: 32.469643 | Time receivedFromSrcR: 32.829627 |End 
Source: /app/node0/item-22033 | Message ID: 33 | Time sentFromSrcR: 33.039267 | Time receivedFromSrcR: 33.053394 |End 
Source: /app/node3/item-22034 | Message ID: 34 | Time sentFromSrcR: 33.569643 | Time receivedFromSrcR: 33.583627 |End 
Source: /app/node1/item-22028 | Message ID: 28 | Time sentFromSrcR: 33.484642 | Time receivedFromSrcR: 33.597467 |End 
Source: /app/node1/item-22031 | Message ID: 31 | Time sentFromSrcR: 33.484642 | Time receivedFromSrcR: 33.611307 |End 
Source: /app/node1/item-22032 | Message ID: 32 | Time sentFromSrcR: 33.484642 | Time receivedFromSrcR: 34.133627 |End 
Source: /app/node3/item-22035 | Message ID: 35 | Time sentFromSrcR: 34.119643 | Time receivedFromSrcR: 34.147467 |End 
Source: /app/node0/item-22035 | Message ID: 35 | Time sentFromSrcR: 34.124330 | Time receivedFromSrcR: 34.152297 |End 
Source: /app/node1/item-22033 | Message ID: 33 | Time sentFromSrcR: 35.069842 | Time receivedFromSrcR: 35.248427 |End 
Source: /app/node3/item-22036 | Message ID: 36 | Time sentFromSrcR: 35.234443 | Time receivedFromSrcR: 35.262267 |End 
Source: /app/node1/item-22033 | Message ID: 33 | Time sentFromSrcR: 35.619842 | Time receivedFromSrcR: 35.798427 |End 
Source: /app/node1/item-22034 | Message ID: 34 | Time sentFromSrcR: 35.619842 | Time receivedFromSrcR: 35.812267 |End 
Source: /app/node1/item-22035 | Message ID: 35 | Time sentFromSrcR: 35.619842 | Time receivedFromSrcR: 35.826107 |End 
