RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 20:45:50 2019
elapsed time: 5.2e-08s
Source: /app/node1/item-22041 | Message ID: 41 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.433627 |End 
Source: /app/node1/item-22042 | Message ID: 42 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.447467 |End 
Source: /app/node1/item-22043 | Message ID: 43 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.461307 |End 
Source: /app/node1/item-22044 | Message ID: 44 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.475147 |End 
Source: /app/node1/item-22046 | Message ID: 46 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.502827 |End 
Source: /app/node1/item-22047 | Message ID: 47 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.516667 |End 
Source: /app/node1/item-22048 | Message ID: 48 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.530507 |End 
Source: /app/node1/item-22049 | Message ID: 49 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.544347 |End 
Source: /app/node3/item-22042 | Message ID: 42 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.547467 |End 
Source: /app/node1/item-22050 | Message ID: 50 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.558187 |End 
Source: /app/node3/item-22043 | Message ID: 43 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.561307 |End 
Source: /app/node3/item-22044 | Message ID: 44 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.575147 |End 
Source: /app/node1/item-22052 | Message ID: 52 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.585867 |End 
Source: /app/node3/item-22045 | Message ID: 45 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.588987 |End 
Source: /app/node1/item-22053 | Message ID: 53 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.599707 |End 
Source: /app/node3/item-22046 | Message ID: 46 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.602827 |End 
Source: /app/node1/item-22054 | Message ID: 54 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.613547 |End 
Source: /app/node3/item-22047 | Message ID: 47 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.616667 |End 
Source: /app/node1/item-22055 | Message ID: 55 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.627387 |End 
Source: /app/node3/item-22048 | Message ID: 48 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.630507 |End 
Source: /app/node1/item-22056 | Message ID: 56 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.641227 |End 
Source: /app/node3/item-22049 | Message ID: 49 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.644347 |End 
Source: /app/node1/item-22057 | Message ID: 57 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.655067 |End 
Source: /app/node3/item-22050 | Message ID: 50 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.658187 |End 
Source: /app/node1/item-22058 | Message ID: 58 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.668907 |End 
Source: /app/node3/item-22051 | Message ID: 51 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.672027 |End 
Source: /app/node1/item-22059 | Message ID: 59 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.682747 |End 
Source: /app/node3/item-22052 | Message ID: 52 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.685867 |End 
Source: /app/node1/item-22060 | Message ID: 60 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.696587 |End 
Source: /app/node3/item-22053 | Message ID: 53 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.699707 |End 
Source: /app/node1/item-22061 | Message ID: 61 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.710427 |End 
Source: /app/node3/item-22054 | Message ID: 54 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.713547 |End 
Source: /app/node1/item-22062 | Message ID: 62 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.724267 |End 
Source: /app/node3/item-22055 | Message ID: 55 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.727387 |End 
Source: /app/node1/item-22063 | Message ID: 63 | Time sentFromSrcR: 62.419643 | Time receivedFromSrcR: 62.738107 |End 
Source: /app/node3/item-22056 | Message ID: 56 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.741227 |End 
Source: /app/node3/item-22057 | Message ID: 57 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.755067 |End 
Source: /app/node3/item-22058 | Message ID: 58 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.768907 |End 
Source: /app/node3/item-22059 | Message ID: 59 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.782747 |End 
Source: /app/node3/item-22060 | Message ID: 60 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.796587 |End 
Source: /app/node3/item-22061 | Message ID: 61 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.810427 |End 
Source: /app/node3/item-22062 | Message ID: 62 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.824267 |End 
Source: /app/node3/item-22063 | Message ID: 63 | Time sentFromSrcR: 62.519643 | Time receivedFromSrcR: 62.838107 |End 
Source: /app/node1/item-22045 | Message ID: 45 | Time sentFromSrcR: 62.969643 | Time receivedFromSrcR: 62.983627 |End 
Source: /app/node1/item-22051 | Message ID: 51 | Time sentFromSrcR: 62.969643 | Time receivedFromSrcR: 62.997467 |End 
Source: /app/node1/item-22062 | Message ID: 62 | Time sentFromSrcR: 62.969643 | Time receivedFromSrcR: 63.011307 |End 
Source: /app/node1/item-22037 | Message ID: 37 | Time sentFromSrcR: 38.869643 | Time receivedFromSrcR: 63.083969 |End 
Source: /app/node1/item-22035 | Message ID: 35 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.097809 |End 
Source: /app/node4/item-22035 | Message ID: 35 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.111649 |End 
Source: /app/node4/item-22037 | Message ID: 37 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.125489 |End 
Source: /app/node4/item-22039 | Message ID: 39 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.139329 |End 
Source: /app/node1/item-22034 | Message ID: 34 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.167009 |End 
Source: /app/node0/item-22034 | Message ID: 34 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.180849 |End 
Source: /app/node1/item-22036 | Message ID: 36 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.194689 |End 
Source: /app/node0/item-22036 | Message ID: 36 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.208529 |End 
Source: /app/node0/item-22037 | Message ID: 37 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.222369 |End 
Source: /app/node0/item-22038 | Message ID: 38 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.250049 |End 
Source: /app/node4/item-22033 | Message ID: 33 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.263889 |End 
Source: /app/node4/item-22036 | Message ID: 36 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.277729 |End 
Source: /app/node4/item-22038 | Message ID: 38 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.291569 |End 
Source: /app/node3/item-22038 | Message ID: 38 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.319249 |End 
Source: /app/node4/item-22040 | Message ID: 40 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.333089 |End 
Source: /app/node1/item-22039 | Message ID: 39 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.346929 |End 
Source: /app/node0/item-22039 | Message ID: 39 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.360769 |End 
Source: /app/node3/item-22039 | Message ID: 39 | Time sentFromSrcR: 39.487291 | Time receivedFromSrcR: 63.374609 |End 
Source: /app/node1/item-22040 | Message ID: 40 | Time sentFromSrcR: 39.969643 | Time receivedFromSrcR: 63.388449 |End 
Source: /app/node4/item-22041 | Message ID: 41 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.402289 |End 
Source: /app/node4/item-22042 | Message ID: 42 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.416129 |End 
Source: /app/node4/item-22044 | Message ID: 44 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.443809 |End 
Source: /app/node4/item-22045 | Message ID: 45 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.457649 |End 
Source: /app/node4/item-22046 | Message ID: 46 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.471489 |End 
Source: /app/node4/item-22047 | Message ID: 47 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.485329 |End 
Source: /app/node4/item-22048 | Message ID: 48 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.499169 |End 
Source: /app/node4/item-22049 | Message ID: 49 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.513009 |End 
Source: /app/node4/item-22050 | Message ID: 50 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.526849 |End 
Source: /app/node1/item-22064 | Message ID: 64 | Time sentFromSrcR: 63.520257 | Time receivedFromSrcR: 63.534242 |End 
Source: /app/node4/item-22051 | Message ID: 51 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.540689 |End 
Source: /app/node4/item-22052 | Message ID: 52 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.554529 |End 
Source: /app/node4/item-22054 | Message ID: 54 | Time sentFromSrcR: 63.069842 | Time receivedFromSrcR: 63.582209 |End 
