RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 00:53:35 2019
elapsed time: 3.7e-08s
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22001 | Message ID: 1 | Time SentFromNIC: 7.683687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22002 | Message ID: 2 | Time SentFromNIC: 7.697527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22003 | Message ID: 3 | Time SentFromNIC: 7.711367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22004 | Message ID: 4 | Time SentFromNIC: 7.725207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22005 | Message ID: 5 | Time SentFromNIC: 7.739047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22006 | Message ID: 6 | Time SentFromNIC: 7.752887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22007 | Message ID: 7 | Time SentFromNIC: 7.766727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22008 | Message ID: 8 | Time SentFromNIC: 7.780567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22001 | Message ID: 1 | Time SentFromNIC: 8.183687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22002 | Message ID: 2 | Time SentFromNIC: 8.197527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22004 | Message ID: 4 | Time SentFromNIC: 8.211367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22005 | Message ID: 5 | Time SentFromNIC: 8.225207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22006 | Message ID: 6 | Time SentFromNIC: 8.239047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22007 | Message ID: 7 | Time SentFromNIC: 8.252887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22008 | Message ID: 8 | Time SentFromNIC: 8.266727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22009 | Message ID: 9 | Time SentFromNIC: 8.280567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22001 | Message ID: 1 | Time SentFromNIC: 18.383687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22002 | Message ID: 2 | Time SentFromNIC: 18.397527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22004 | Message ID: 4 | Time SentFromNIC: 18.411367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22005 | Message ID: 5 | Time SentFromNIC: 18.425207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22008 | Message ID: 8 | Time SentFromNIC: 18.439047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22009 | Message ID: 9 | Time SentFromNIC: 18.452887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22010 | Message ID: 10 | Time SentFromNIC: 18.466727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22011 | Message ID: 11 | Time SentFromNIC: 18.480567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22012 | Message ID: 12 | Time SentFromNIC: 18.494407 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22013 | Message ID: 13 | Time SentFromNIC: 18.508247 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22014 | Message ID: 14 | Time SentFromNIC: 18.522087 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22015 | Message ID: 15 | Time SentFromNIC: 18.535927 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22016 | Message ID: 16 | Time SentFromNIC: 18.549767 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22017 | Message ID: 17 | Time SentFromNIC: 18.563607 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22018 | Message ID: 18 | Time SentFromNIC: 18.577447 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22019 | Message ID: 19 | Time SentFromNIC: 18.591287 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22001 | Message ID: 1 | Time SentFromNIC: 25.083687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22002 | Message ID: 2 | Time SentFromNIC: 25.097527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22004 | Message ID: 4 | Time SentFromNIC: 25.111367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22008 | Message ID: 8 | Time SentFromNIC: 25.125207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22009 | Message ID: 9 | Time SentFromNIC: 25.139047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22010 | Message ID: 10 | Time SentFromNIC: 25.152887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22011 | Message ID: 11 | Time SentFromNIC: 25.166727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22013 | Message ID: 13 | Time SentFromNIC: 25.180567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22014 | Message ID: 14 | Time SentFromNIC: 25.194407 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22020 | Message ID: 20 | Time SentFromNIC: 25.208247 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22021 | Message ID: 21 | Time SentFromNIC: 25.222087 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22022 | Message ID: 22 | Time SentFromNIC: 25.235927 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22023 | Message ID: 23 | Time SentFromNIC: 25.249767 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22024 | Message ID: 24 | Time SentFromNIC: 25.263607 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22025 | Message ID: 25 | Time SentFromNIC: 25.277447 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22008 | Message ID: 8 | Time SentFromNIC: 28.283687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22009 | Message ID: 9 | Time SentFromNIC: 28.297527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22010 | Message ID: 10 | Time SentFromNIC: 28.311367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22011 | Message ID: 11 | Time SentFromNIC: 28.325207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22013 | Message ID: 13 | Time SentFromNIC: 28.339047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22020 | Message ID: 20 | Time SentFromNIC: 28.352887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22024 | Message ID: 24 | Time SentFromNIC: 28.366727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22025 | Message ID: 25 | Time SentFromNIC: 28.380567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22026 | Message ID: 26 | Time SentFromNIC: 28.394407 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22027 | Message ID: 27 | Time SentFromNIC: 28.408247 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22028 | Message ID: 28 | Time SentFromNIC: 28.422087 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22029 | Message ID: 29 | Time SentFromNIC: 28.435927 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22009 | Message ID: 9 | Time SentFromNIC: 29.383687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22010 | Message ID: 10 | Time SentFromNIC: 29.397527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22025 | Message ID: 25 | Time SentFromNIC: 29.411367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22026 | Message ID: 26 | Time SentFromNIC: 29.425207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22029 | Message ID: 29 | Time SentFromNIC: 29.439047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22030 | Message ID: 30 | Time SentFromNIC: 29.452887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22010 | Message ID: 10 | Time SentFromNIC: 29.933687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22030 | Message ID: 30 | Time SentFromNIC: 29.947527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22010 | Message ID: 10 | Time SentFromNIC: 36.633687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22030 | Message ID: 30 | Time SentFromNIC: 36.647527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22031 | Message ID: 31 | Time SentFromNIC: 36.661367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22032 | Message ID: 32 | Time SentFromNIC: 36.675207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22033 | Message ID: 33 | Time SentFromNIC: 36.689047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22034 | Message ID: 34 | Time SentFromNIC: 36.702887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22035 | Message ID: 35 | Time SentFromNIC: 36.716727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22036 | Message ID: 36 | Time SentFromNIC: 36.730567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22037 | Message ID: 37 | Time SentFromNIC: 36.744407 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22068 | Message ID: 68 | Time SentFromNIC: 67.819064 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22068 | Message ID: 68 | Time SentFromNIC: 69.783687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22069 | Message ID: 69 | Time SentFromNIC: 69.797527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22070 | Message ID: 70 | Time SentFromNIC: 69.811367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22070 | Message ID: 70 | Time SentFromNIC: 71.933687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22071 | Message ID: 71 | Time SentFromNIC: 71.947527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22072 | Message ID: 72 | Time SentFromNIC: 71.961367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22072 | Message ID: 72 | Time SentFromNIC: 75.494904 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22073 | Message ID: 73 | Time SentFromNIC: 75.508744 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22074 | Message ID: 74 | Time SentFromNIC: 75.522584 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22075 | Message ID: 75 | Time SentFromNIC: 75.536424 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22076 | Message ID: 76 | Time SentFromNIC: 75.550264 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22072 | Message ID: 72 | Time SentFromNIC: 75.683687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22073 | Message ID: 73 | Time SentFromNIC: 75.697527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22074 | Message ID: 74 | Time SentFromNIC: 75.711367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22076 | Message ID: 76 | Time SentFromNIC: 75.725207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22072 | Message ID: 72 | Time SentFromNIC: 78.509864 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22074 | Message ID: 74 | Time SentFromNIC: 78.523704 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22076 | Message ID: 76 | Time SentFromNIC: 78.537544 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22077 | Message ID: 77 | Time SentFromNIC: 78.551384 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22078 | Message ID: 78 | Time SentFromNIC: 78.565224 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22079 | Message ID: 79 | Time SentFromNIC: 78.579064 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22074 | Message ID: 74 | Time SentFromNIC: 79.129064 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22076 | Message ID: 76 | Time SentFromNIC: 79.142904 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22078 | Message ID: 78 | Time SentFromNIC: 79.156744 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22080 | Message ID: 80 | Time SentFromNIC: 79.170584 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22074 | Message ID: 74 | Time SentFromNIC: 79.483687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22076 | Message ID: 76 | Time SentFromNIC: 79.497527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22080 | Message ID: 80 | Time SentFromNIC: 79.511367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22074 | Message ID: 74 | Time SentFromNIC: 80.033687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22080 | Message ID: 80 | Time SentFromNIC: 80.047527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22081 | Message ID: 81 | Time SentFromNIC: 80.583687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22082 | Message ID: 82 | Time SentFromNIC: 85.683687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22083 | Message ID: 83 | Time SentFromNIC: 85.697527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22084 | Message ID: 84 | Time SentFromNIC: 85.711367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22085 | Message ID: 85 | Time SentFromNIC: 85.725207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22086 | Message ID: 86 | Time SentFromNIC: 85.739047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22082 | Message ID: 82 | Time SentFromNIC: 87.283687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22084 | Message ID: 84 | Time SentFromNIC: 87.297527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22085 | Message ID: 85 | Time SentFromNIC: 87.311367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22087 | Message ID: 87 | Time SentFromNIC: 87.325207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22088 | Message ID: 88 | Time SentFromNIC: 87.339047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22085 | Message ID: 85 | Time SentFromNIC: 87.833687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22087 | Message ID: 87 | Time SentFromNIC: 87.847527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22089 | Message ID: 89 | Time SentFromNIC: 95.083687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22090 | Message ID: 90 | Time SentFromNIC: 95.097527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22091 | Message ID: 91 | Time SentFromNIC: 95.111367 | End 
